Title	Work Pages	Completed	Remaining	Completion
Word Study Phonix	151	26.0	125.0	17%
Language Arts	149	12.0	137.0	8%
Spectrum 6th Grade	277	0.0	277.0	0%
Word Problems	114	9.0	105.0	7%
Reading	151	19.0	132.0	12%
Spelling	131	32.0	99.0	24%
Critical Thinking Math	102	11.0	91.0	10%
World Geography	91	17.0	74.0	18%
Writing	129	27.0	102.0	20%
Math	148	8.3	139.7	5%
Fractions	83	23.0	60.0	27%
Vocabulary	148	26.0	122.0	17%
Science	151	17.0	134.0	11%
Ultimate Math	207	26.0	181.0	12%
Test Practice	154	61.0	93.0	39%
Algebra 6 - 8	106	9.0	97.0	8%
