Title	Work Pages/Chapters	Completed	Remaining	Completion
Word Study Phonix	151	26	125	17%
Language Arts	149	12	137	8%
Spectrum 6th Grade	277	0	277	0%
Word Problems	114	8	106	7%
Reading	151	19	132	12%
Spelling	131	32	99	24%
Critical Thinking Math	102	11	91	10%
World Geography	91	17	74	18%
Writing	129	26	103	20%
Math	148	8	140	5%
Fractions	83	23	60	27%
Vocabulary	148	26	122	17%
Science	151	17	134	11%
Ultimate Math	207	26	181	12%
Test Practice	154	61	93	39%
Algebra 6 - 8	106	9	97	8%
Mighty Heart	35	3	32	8%
