Title	Work Pages	Completed	Remaining	Completion
Word Study Phonix	151.0	32.0	119.0	21%
Language Arts	149.0	13.0	136.0	8%
Spectrum 6th Grade	277.0	0.0	277.0	0%
Word Problems	114.0	11.0	103.0	9%
Reading	151.0	25.0	126.0	16%
Spelling	131.0	34.0	97.0	25%
Critical Thinking Math	102.0	11.0	91.0	10%
World Geography	91.0	17.0	74.0	18%
Writing	129.0	34.0	95.0	26%
Math	148.0	10.3	137.7	6%
Fractions	83.0	24.0	59.0	28%
Vocabulary	148.0	28.0	120.0	18%
Science	151.0	22.0	129.0	14%
Ultimate Math	207.0	28.0	179.0	13%
Test Practice	154.0	66.0	88.0	42%
Algebra 6 - 8	106.0	9.0	97.0	8%
Mighty Heart	35.0	8.299999999999999	26.7	23%
